source_id,distance_gspphot,teff_gspphot,mh_gspphot,logg_gspphot,phot_g_mean_mag
1827861939999276416,3375.0615,5832.453,-0.2163,3.5797,15.897878
1827861939999276800,751.5106,4930.751,-1.4409,4.7722,18.201805
1827861939999593600,682.8841,4884.841,-1.4647,4.7845,18.479145
1827861940005346048,,,,,19.640331
1827861940005347328,,,,,20.129555
1827861940005349504,,,,,19.52369
1827861940005351424,617.8002,4710.778,-1.3548,4.8005,18.595652
1827861940005811712,,,,,19.60666
1827861940005812992,557.5533,4242.8965,-0.9666,4.2445,18.784618
1827861940005815296,,,,,19.427387
1827861940005815552,,,,,19.457214
1827861940008158976,,,,,19.450396
1827861944311972096,715.543,4625.2114,-0.6275,4.6925,18.89466
1827861944311976960,,,,,20.72207
4206275469749156224,1812.7393,5404.1963,-0.0659,3.3864,15.101225
4206275469749156608,1234.2124,4902.6577,-1.5752,4.38,17.22746
4206275499784839552,875.7722,4712.808,-0.6874,4.483,17.294079
4206275499786481792,620.1421,4382.462,-1.0497,4.7976,17.471792
4206275499786485888,881.4338,3839.64,-1.397,4.4902,18.333021
4206275499786487936,801.4286,3770.0852,-1.2123,4.4227,18.042864
4206275499788458240,,,,,19.192995
4206275499788460416,552.3777,3569.905,-1.6609,4.507,18.819035
4206275504086662016,,,,,19.628866
4206275504086667904,,,,,20.09766
4206275504086672000,,,,,19.603008
4206275504086672768,,,,,19.750425
5389601593275757568,,,,,19.077856
5389601631930084480,,,,,19.747013
5389601631931161856,,,,,20.58104
5389601661995234560,700.0961,5560.848,-0.1908,4.586,14.907279
5389601661995238144,,,,,19.859297
5389601661995249280,2230.4072,5504.0195,-1.9037,4.6815,17.80745
5389601666292202752,,,,,19.119001
5389601666292204032,1389.1376,5215.342,-1.0871,4.5727,16.692343
5389601696354972544,,,,,19.653425
5389601696354974976,1098.9778,5120.554,-0.975,4.6735,16.643473
5389601696354975616,1461.0151,4668.9785,-0.5076,4.4845,17.154028
5389601700650640384,,,,,20.702322
1827972239079415296,,,,,20.118176
1827972239079420032,,,,,20.410896
1827972239079420544,,,,,19.00973
1827972239079425920,,,,,20.564774
1827972239079426304,,,,,20.685942
1827972239079428352,1305.1987,6010.3223,-0.057,4.4853,17.243368
1827972239079430912,,,,,20.771698
1827972239079437824,,,,,19.961926
1827972239079438976,,,,,19.894781
